Team,Charm Name,Repository,Key Charm for this Team,Branch (if not the default),Notes
,ghost,https://github.com/battlemidget/charm-layer-ghost,FALSE,,Added automatically from Charmhub
,giraph,https://github.com/panagiotisl/bigtop,FALSE,,Added automatically from Charmhub
,glance,https://opendev.org/openstack/charm-glance,FALSE,,Added automatically from Charmhub
,glance-simplestreams-sync,https://opendev.org/openstack/charm-glance-simplestreams-sync,FALSE,,Added automatically from Charmhub
,gnocchi,https://opendev.org/openstack/charm-gnocchi,FALSE,,Added automatically from Charmhub
,hacluster,https://opendev.org/openstack/charm-hacluster,FALSE,,Added automatically from Charmhub
,heat,https://opendev.org/openstack/charm-heat,FALSE,,Added automatically from Charmhub
,hello-juju,https://github.com/juju/hello-juju-charm,FALSE,,Added automatically from Charmhub
,httprequest-lego-provider,https://github.com/canonical/httprequest-lego-provider,FALSE,,
,influxdb,https://git.launchpad.net/influxdb-charm,FALSE,,Added automatically from Charmhub
,ironic-api,https://opendev.org/openstack/charm-ironic-api,FALSE,,Added automatically from Charmhub
,ironic-conductor,https://opendev.org/openstack/charm-ironic-conductor,FALSE,,Added automatically from Charmhub
,jenkins,https://github.com/jenkinsci/jenkins-charm,FALSE,,Added automatically from Charmhub
,jimm,https://github.com/canonical/jimm,FALSE,,
,juju-dashboard-k8s,https://github.com/canonical/juju-dashboard,FALSE,,Added automatically from Charmhub
,jupyter,https://github.com/canonical/bundle-jupyter/issues/,FALSE,,Added automatically from Charmhub
,k8s-operator,https://github.com/canonical/k8s-operator,FALSE,,
,keystone,https://opendev.org/openstack/charm-keystone,FALSE,,Added automatically from Charmhub
,keystone-kerberos,https://opendev.org/openstack/charm-keystone-kerberos,FALSE,,Added automatically from Charmhub
,keystone-ldap,https://opendev.org/openstack/charm-keystone-ldap,FALSE,,Added automatically from Charmhub
,keystone-saml-mellon,https://opendev.org/openstack/charm-keystone-saml-mellon,FALSE,,Added automatically from Charmhub
,kibana,https://git.launchpad.net/kibana-charm,FALSE,,Added automatically from Charmhub
,knf-lma-stack,https://github.com/davigar15/ecosystem-prep,FALSE,,Added automatically from Charmhub
,kube-ovn,https://github.com/charmed-kubernetes/charm-kube-ovn,FALSE,,Added automatically from Charmhub
,kubeapi-load-balancer,https://github.com/charmed-kubernetes/charm-kubeapi-load-balancer,FALSE,,Added automatically from Charmhub
,kubernetes-control-plane,https://github.com/charmed-kubernetes/charm-kubernetes-control-plane,FALSE,,Added automatically from Charmhub
,kubernetes-core,https://github.com/charmed-kubernetes/bundle,FALSE,,Added automatically from Charmhub
,kubernetes-worker,https://github.com/charmed-kubernetes/charm-kubernetes-worker,FALSE,,Added automatically from Charmhub
,kubescape,https://github.com/vladklokun/ks-charmed,FALSE,,Added automatically from Charmhub
,kyuubi-k8s-operator,https://github.com/canonical/kyuubi-k8s-operator,FALSE,,
,landscape-client,https://git.launchpad.net/landscape-client,FALSE,,Added automatically from Charmhub
,landscape-dense,https://code.launchpad.net/landscape-bundles/+git,FALSE,,Added automatically from Charmhub
,landscape-server,https://github.com/canonical/landscape-server-operator,FALSE,,Added automatically from Charmhub
,lego-operator,https://github.com/canonical/lego-operator,FALSE,,
,linstor,https://github.com/linbit/charmed-linstor,FALSE,,Added automatically from Charmhub
,Livepatch K8s,https://github.com/canonical/livepatch-k8s-operator,FALSE,,
,logstash,https://git.launchpad.net/logstash-charm,FALSE,,Added automatically from Charmhub
,manila,https://opendev.org/openstack/charm-manila,FALSE,,Added automatically from Charmhub
,manila-dashboard,https://opendev.org/openstack/charm-manila-dashboard,FALSE,,Added automatically from Charmhub
,manila-netapp,https://opendev.org/openstack/charm-manila-netapp,FALSE,,Added automatically from Charmhub
,masakari,https://opendev.org/openstack/charm-masakari,FALSE,,Added automatically from Charmhub
,masakari-monitors,https://opendev.org/openstack/charm-masakari-monitors,FALSE,,Added automatically from Charmhub
,metadata-api,https://github.com/juju-solutions/bundle-kubeflow,FALSE,,Added automatically from Charmhub
,metallb,https://github.com/charmed-kubernetes/metallb-operator,FALSE,,Added automatically from Charmhub
,mysql-router,https://git.launchpad.net/charm-mysql-router,FALSE,,Added automatically from Charmhub
,mysql-router-k8s,https://github.com/canonical/mysql-router-operators,FALSE,,Added automatically from Charmhub
,nats,https://github.com/canonical/nats-operator,FALSE,,Added automatically from Charmhub
,netbox-k8s-operator,https://github.com/canonical/netbox-k8s-operator,FALSE,,
,neutron-api-odl,https://opendev.org/openstack/charm-neutron-api-odl,FALSE,,Added automatically from Charmhub
,neutron-api-plugin-arista,https://opendev.org/openstack/charm-neutron-api-plugin-arista,FALSE,,Added automatically from Charmhub
,neutron-api-plugin-ironic,https://opendev.org/openstack/charm-neutron-api-plugin-ironic,FALSE,,Added automatically from Charmhub
,neutron-dynamic-routing,https://opendev.org/openstack/charm-neutron-dynamic-routing,FALSE,,Added automatically from Charmhub
,neutron-gateway,https://opendev.org/openstack/charm-neutron-gateway,FALSE,,Added automatically from Charmhub
,nfs-ganesha,https://git.launchpad.net/nfs-ganesha-charm,FALSE,,Added automatically from Charmhub
,nova-cell-controller,https://opendev.org/openstack/charm-nova-cell-controller,FALSE,,Added automatically from Charmhub
,nova-dell-powerflex,https://github.com/dell-esg/powerflex-nova-charm,FALSE,,Added automatically from Charmhub
,OAuth2 Proxy K8s,https://github.com/canonical/oauth2-proxy-k8s-operator,FALSE,,
,octavia-dashboard,https://opendev.org/openstack/charm-octavia-dashboard,FALSE,,Added automatically from Charmhub
,octavia-diskimage-retrofit,https://opendev.org/openstack/charm-octavia-diskimage-retrofit,FALSE,,Added automatically from Charmhub
,odl-controller,https://opendev.org/openstack/charm-odl-controller,FALSE,,Added automatically from Charmhub
,openstack-exporter-operator,https://github.com/canonical/openstack-exporter-operator,FALSE,,
,openvswitch-odl,https://opendev.org/openstack/charm-openvswitch-odl,FALSE,,Added automatically from Charmhub
,ovn-chassis,https://git.launchpad.net/charm-ovn-chassis,FALSE,,Added automatically from Charmhub
,ovn-dedicated-chassis,https://git.launchpad.net/charm-ovn-dedicated-chassis,FALSE,,Added automatically from Charmhub
,pacemaker-remote,https://opendev.org/openstack/charm-pacemaker-remote,FALSE,,Added automatically from Charmhub
,parca-agent-operator,https://github.com/canonical/parca-agent-operator,FALSE,,
,parca-k8s-operator,https://github.com/canonical/parca-k8s-operator,FALSE,,
,parca-scrape-target-operator,https://github.com/canonical/parca-scrape-target-operator,FALSE,,
,percona-cluster,https://opendev.org/openstack/charm-percona-cluster,FALSE,,Added automatically from Charmhub
,placement,https://opendev.org/openstack/charm-placement,FALSE,,Added automatically from Charmhub
,rabbitmq-server,https://opendev.org/openstack/charm-rabbitmq-server,FALSE,,Added automatically from Charmhub
,S3 Integrator,https://github.com/canonical/s3-integrator,FALSE,,
,spark-integration-hub-k8s-operator,https://github.com/canonical/spark-integration-hub-k8s-operator,FALSE,,
,squid-reverseproxy,https://git.launchpad.net/squid-reverseproxy-charm,FALSE,,Added automatically from Charmhub
,swift-proxy,https://opendev.org/openstack/charm-swift-proxy,FALSE,,Added automatically from Charmhub
,swift-storage,https://opendev.org/openstack/charm-swift-storage,FALSE,,Added automatically from Charmhub
,tempo-coordinator-k8s,https://github.com/canonical/tempo-operators,FALSE,,Added automatically from Charmhub
,ubuntu-repository-cache,https://code.launchpad.net/~ubuntu-repository-cache-charmers/ubuntu-repository-cache/layer-ubuntu-repository-cache,FALSE,,Added automatically from Charmhub
,znc,https://github.com/battlemidget/juju-charm-znc,FALSE,,Added automatically from Charmhub
